<purpose>Your goal is to help me modify the programme code to fit my needs.</purpose>

<instructions>
    <instruction>You are asked to take an in-depth look at the program code and output, and adjust it to fit the requirements.</instruction>
    <instruction>The development environment I'm using is the PyCharm IDE, so make sure any changes you make are compatible with the IDE.</instruction>
    <instruction>Use this format: {Think step by step, <steps>{give reasoning}</steps> Therefore, the answer is: <final_answer>{answer}</final_answer>}</instruction>
</instructions> 

<need>Can you create an Excel file consisting of three sheets? Sheet1 includes the columns `ir`, `age`, `hr`, and `glu`. Sheet2 includes the columns `ir`, `age`, `hr`, and `chol`. Sheet3 includes the columns `ir`, `age`, `hr`, and `acd`. On each sheet, filter by deleting rows that have `hr` values below 60 or above 100 !</need> 

<program>

```py
import pandas as pd

file_path = 'C:/Users/MRX/Downloads/Data_Puskesmas.xlsx'
all_sheets = pd.read_excel(file_path, sheet_name=None)

print('Output Dict of DataFrames:')
for sheet_name, df in all_sheets.items():
    print(f'Sheet Name: {sheet_name}')
    print(df)
    print('\n')
```

</program>

<output>

```
C:\Users\MRX\PyCharmMiscProject\.venv\Scripts\python.exe C:\Users\MRX\PyCharmMiscProject\script.py 
Could not find platform independent libraries <prefix>
Output Dict of DataFrames:
Sheet Name: Sheet1
        ir  usia   hr  glu   chol  acd
0    90947    44   69  107  187.0  3.2
1    58124    33   71  123  151.0  3.0
2    71956    31   80   95  124.0  2.4
3    63031    48   90  242  187.0  3.4
4    62154    46   60  100  184.0  3.4
5    94380    37   71  117  158.0  9.4
6    63803    17   60  145  130.0  2.4
7    82888    52   90  231  253.0  3.9
8    61281    61   60  111  158.0  4.3
9   105055    25   65   94  163.0  4.4
10  106545    73   71  145  186.0  2.4
11   91330    60   77  139  176.0  2.4
12   91330    15   77  139  200.0  4.6
13   91330    84   77  101  232.0  5.0
14   98640    53   93   97  123.0  2.4
15   91330     9   60  149  153.0  2.4
16   67184    53   64  137  145.0  3.3
17   96440    15   77  112  181.0  4.7
18   91533    68   57  136  176.0  3.8
19  102176    57   64  130  203.0  2.4
20   95199    46   84  143  186.0  4.2
21   93796    41   75  128  185.0  3.8
22  107632    64   84  127  165.0  4.8
23   51735    72   84  197  205.0  3.4
24   92504    71   79  101  187.0  4.7
25   86581    56   81  146  268.0  NaN
26   87541    58   93  116  183.0  2.4
27   96337    59   74   95  163.0  4.0
28   98391    48  101  184    NaN  NaN
29   90888    47   98  123  250.0  4.4
30   52788    40   67  115  112.0  7.1
31   68401    55   77  120  162.0  8.9
32   80129    52   86  127  192.0  4.1
33   76561    44   74  143    NaN  6.1
34  104118    38   69  118  190.0  2.4
35   51776    47   60  123  251.0  4.5
36   95251    64   93  171  195.0  5.4
37   56543    59   66  111    NaN  5.2
38   74204    46  103  159  162.0  6.9
39   94378    33   63  181  150.0  5.2
40   86491    49   60  106  123.0  5.8
41   99513    32   97  102  218.0  4.2
42   98111    24   92  152  264.0  3.7
43   71759    73   60  100  116.0  4.7
44   91192    21   60  264  144.0  4.0
45   97014    33   70  111  143.0  5.5
46   96016    40   60  113  110.0  3.8
47   86720    55   73  110  153.0  4.8
48   87527    60   60  153  211.0  8.2
49   94503    58   61  102  173.0  4.3
50   85777    28   62  112  173.0  6.9
51  102235    39   71  111  186.0  3.7
52   95521    57   78  102  176.0  3.6
53  100909    57   83   90  290.0  NaN

Process finished with exit code 0
```

</output>
